UniProt_Accession	UniProt_Entry_Name
P23588	IF4B_HUMAN
Q13325	IFIT5_HUMAN
Q12906	ILF3_HUMAN
P52292	IMA1_HUMAN
Q6PKG0	LARP1_HUMAN
Q71RC2	LARP4_HUMAN
Q4G0J3	LARP7_HUMAN
P05455	LA_HUMAN
P36776	LONM_HUMAN
P42704	LPPRC_HUMAN
Q7L2J0	MEPCE_HUMAN
Q9HCE1	MOV10_HUMAN
Q09161	NCBP1_HUMAN
P52298	NCBP2_HUMAN
Q53F19	NCBP3_HUMAN
O00567	NOP56_HUMAN
Q9Y2X3	NOP58_HUMAN
Q08J23	NSUN2_HUMAN
P19338	NUCL_HUMAN
Q9UBU9	NXF1_HUMAN
Q9NTK5	OLA1_HUMAN
P11940	PABP1_HUMAN
Q86U42	PABP2_HUMAN
Q13310	PABP4_HUMAN
O14737	PDCD5_HUMAN
Q8IZL8	PELP1_HUMAN
O60925	PFD1_HUMAN
Q9UHV9	PFD2_HUMAN
P61758	PFD3_HUMAN
Q9NQP4	PFD4_HUMAN
Q99471	PFD5_HUMAN
O15212	PFD6_HUMAN
Q9H814	PHAX_HUMAN
Q13371	PHLP_HUMAN
Q02809	PLOD1_HUMAN
O00469	PLOD2_HUMAN
Q99575	POP1_HUMAN
O75817	POP7_HUMAN
O43447	PPIH_HUMAN
O00743	PPP6_HUMAN
O43395	PRPF3_HUMAN
P61289	PSME3_HUMAN
Q00577	PURA_HUMAN
Q96QR8	PURB_HUMAN
Q9BZE2	PUS3_HUMAN
Q96PZ0	PUS7_HUMAN
P17812	PYRG1_HUMAN
P63244	RACK1_HUMAN
Q9UKM9	RALY_HUMAN
Q96PK6	RBM14_HUMAN
Q9BWF3	RBM4_HUMAN
P38159	RBMX_HUMAN
Q14257	RCN2_HUMAN
P54727	RD23B_HUMAN
Q13123	RED_HUMAN
Q92900	RENT1_HUMAN
P27694	RFA1_HUMAN
P15927	RFA2_HUMAN
P62906	RL10A_HUMAN
P30050	RL12_HUMAN
P61353	RL27_HUMAN
P62888	RL30_HUMAN
P39023	RL3_HUMAN
P46777	RL5_HUMAN
P05388	RLA0_HUMAN
P05387	RLA2_HUMAN
Q9BV68	RN126_HUMAN
Q9BQ52	RNZ2_HUMAN
P10155	RO60_HUMAN
P22626	ROA2_HUMAN
P51991	ROA3_HUMAN
Q99729	ROAA_HUMAN
O00411	RPOM_HUMAN
Q14684	RRP1B_HUMAN
Q9Y399	RT02_HUMAN
Q9Y2R9	RT07_HUMAN
P82914	RT15_HUMAN
P08621	RU17_HUMAN
P09234	RU1C_HUMAN
P09661	RU2A_HUMAN
Q15020	SART3_HUMAN
Q9HCN8	SDF2L_HUMAN
Q2TAY7	SMU1_HUMAN
P09012	SNRPA_HUMAN
Q13573	SNW1_HUMAN
P37108	SRP14_HUMAN
Q9UHB9	SRP68_HUMAN
O76094	SRP72_HUMAN
Q9BXP5	SRRT_HUMAN
Q07955	SRSF1_HUMAN
Q01130	SRSF2_HUMAN
Q08170	SRSF4_HUMAN
Q13243	SRSF5_HUMAN
Q13247	SRSF6_HUMAN
Q16629	SRSF7_HUMAN
Q13242	SRSF9_HUMAN
O95793	STAU1_HUMAN
P31948	STIP1_HUMAN
Q9H6E5	STPAP_HUMAN
Q9Y3F4	STRAP_HUMAN
Q96SI9	STRBP_HUMAN
P54577	SYYC_HUMAN
Q9BUF5	TBB6_HUMAN
P17987	TCPA_HUMAN
P49368	TCPG_HUMAN
Q99832	TCPH_HUMAN
P40227	TCPZ_HUMAN
Q15185	TEBP_HUMAN
Q9NXG2	THUM1_HUMAN
Q9BV44	THUM3_HUMAN
Q9Y5L4	TIM13_HUMAN
Q3ZCQ8	TIM50_HUMAN
Q9Y5J9	TIM8B_HUMAN
Q9Y2W1	TR150_HUMAN
Q13595	TRA2A_HUMAN
P62995	TRA2B_HUMAN
O14545	TRAD1_HUMAN
Q7Z2T5	TRM1L_HUMAN
